tmin	tier	text	tmax
4.779599	phrase	Phrase1_7	6.300322
7.829076	phoneme	sh	7.913602
14.238813	phoneme	ae	14.315912
20.065633	phoneme	s	20.130354
22.360822	phoneme	lu	22.523287
29.231861	phoneme	ae	29.371633
30.530288	phoneme	i	30.605574
43.616772	phrase	Phrase2.1_7	45.206615
45.613442	phrase	Phrase2.2_3	46.189809
45.922866	phoneme	la	46.137390
51.596070	phoneme	i	51.642701
56.751728	phoneme	u	56.891270
65.879070	phoneme	a	66.021325
78.345296	phrase	Phrase3.1_23	82.737042
82.946142	phrase	Phrase3.2_3	83.618700
84.026588	phrase	Phrase3.3_7	85.697864
