tmin	tier	text	tmax
19.560840	phrase	Phrase1_7	20.912784
21.376135	phoneme	sh	21.518802
28.262356	phoneme	ae	28.381845
33.746304	phoneme	s	33.855811
36.629491	phoneme	lu	36.785893
43.122289	phoneme	ae	43.264617
44.713107	phoneme	i	44.823596
56.964417	phrase	Phrase2.1_4	58.466125
58.900535	phrase	Phrase2.2_7	60.445560
60.090071	phoneme	la	60.300218
66.383976	phoneme	i	66.454611
69.543376	phoneme	u	69.750327
76.875007	phoneme	a	77.025053
85.882504	phrase	Phrase3.1_4	86.758002
86.923484	phrase	Phrase3.2_15	89.566334
90.037881	phrase	Phrase3.3_3	90.975362
91.158766	phrase	Phrase3.4_5	92.449542
92.661289	phrase	Phrase3.5_2	92.953059
