tmin	tier	text	tmax
6.913003	phrase	Phrase1_7	8.234725
8.905384	phoneme	sh	9.029133
16.311700	phoneme	ae	16.408060
22.644502	phoneme	s	22.777790
25.223775	phoneme	u	25.301150
31.374278	phoneme	ae	31.494174
32.775672	phoneme	i	32.844105
44.212065	phrase	Phrase2_11	47.168348
46.791356	phoneme	la	47.009886
54.443383	phoneme	i	54.516627
57.763918	phoneme	u	57.873988
63.981289	phoneme	a	64.134107
73.564113	phrase	Phrase3.1_10	75.518448
75.815347	phrase	Phrase3.2_9	77.221510
77.947149	phrase	Phrase3.3_8	80.250151
80.492521	phrase	Phrase3.4_2	80.733523
