tmin	tier	text	tmax
0	phrase	          	5.459590
0	phoneme	 	7.717779
5.459590	phrase	Phrase 1_7 	7.052402
7.717779	phoneme	sh	7.863500
15.349570	phoneme	ae	15.454222
22.560383	phoneme	s	22.677516
26.119375	phoneme	u 	26.281962
33.553280	phoneme	ae	33.701864
34.669537	phoneme	ae	34.828378
34.828378	phoneme	 	36.785454
36.785454	phoneme	i	36.878453
50.072241	phrase	Phrase2_11	52.854673
52.633325	phoneme	la	52.817072
60.150762	phoneme	i	60.204270
65.006761	phoneme	u	65.113249
74.289371	phoneme	a	74.436340
84.105073	phrase	Phrase3.1_19	87.584975
88.082536	phrase	Phrase3.2_9	90.469012
