tmin	tier	text	tmax
22.992288	phrase	Phrase1_7	24.265336
24.941544	phoneme	sh	25.056821
31.442376	phoneme	ae	31.545802
36.223406	phoneme	s	36.329253
38.691006	phoneme	lu	38.779602
44.697572	phoneme	ae	44.810499
46.251075	phoneme	i	46.288025
58.198303	phrase	Phrase2.1_4	59.060205
59.403852	phrase	Phrase2.2_7	60.629358
60.475826	phoneme	la	60.606163
65.448765	phoneme	i	65.500802
67.955017	phoneme	u	68.093686
74.105645	phoneme	a	74.209101
81.515348	phrase	Phrase3.1_10	83.310833
83.689507	phrase	Phrase3.2_19	87.237378
