tmin	tier	text	tmax
9.405639	phrase	Phrase1_7	11.183681
11.775293	phoneme	sh	11.927629
18.894147	phoneme	ae	18.966680
24.613381	phoneme	s	24.781197
27.931875	phoneme	u	28.029697
35.398795	phoneme	ae	35.542596
37.271541	phoneme	i	37.347784
49.722274	phrase	Phrase2.1_4	51.050741
51.374736	phrase	Phrase2.2_7	52.859339
52.547633	phoneme	la	52.679587
59.277210	phoneme	i	59.324549
62.743413	phoneme	u	62.837874
70.039336	phoneme	a	70.153984
79.841837	phrase	Phrase3.1_10	81.728145
82.164851	phrase	Phrase3.2_10	83.903992
84.381574	phrase	Phrase3.3_7	86.367869
86.584472	phrase	Phrase3.4_2	86.924871
