tmin	tier	text	tmax
18.718342	phrase	Phrase1_7	20.094452
21.033599	phoneme	sh	21.209887
30.528615	phoneme	ae	30.611774
38.266165	phoneme	s	38.380737
40.989209	phoneme	u	41.044669
48.460509	phoneme	ae	48.642880
49.971952	phoneme	i	50.044767
62.282816	phrase	Phrase2.1_4	63.831311
64.144416	phrase	Phrase2.2_7	65.721261
65.473050	phoneme	la	65.663619
72.453082	phoneme	i	72.512373
75.587349	phoneme	u	75.670160
83.304466	phoneme	a	83.398056
93.581963	phrase	Phrase3.1_10	95.569567
96.007933	phrase	Phrase3.2_9	97.489934
98.018055	phrase	Phrase3.3_8	100.324527
100.543693	phrase	Phrase3.4_2	100.838473
