item,label,class,summary,value
"","","",Rows in dataset,457
"","","",Columns in dataset,8
speaker_id,Speaker ID,character,unique responses,34
"","","",missing,0
time_point,Time Point of Recording,factor,before (1),153
"","","",sensors (2),153
"","","",after (3),151
"","","",missing,0
phrase,Phrase from Caterpillar Passage,factor,Phrase 1 (1),152
"","","",Phrase 2 (2),152
"","","",Phrase 3 (3),153
"","","",missing,0
seg_type,Segment Type,factor,initial (1),305
"","","",intrarater (2),72
"","","",interrater (3),80
"","","",missing,0
artic_rate,Articulation Rate (syll/s),numeric,mean,5
"","","",median,5
"","","",min,2.56
"","","",max,6.79
"","","",missing,0
group,Group,factor,Control (1),260
"","","",PD (2),197
"","","",missing,0
sex,Sex,factor,Male (1),251
"","","",Female (2),206
"","","",missing,0
age,Age,numeric,mean,68
"","","",median,68
"","","",min,47
"","","",max,85
"","","",missing,0
