listener_id,counterbalance,trial_number,speaker_id,time_point,cp_section,rating,reliability,rating_type
10236319,9b,1,Sub35,after,3,99,initial,intelligibility
10236319,9b,2,Sub30,after,3,99,initial,intelligibility
10236319,9b,3,Sub60,sensors,2,99,initial,intelligibility
10236319,9b,4,Sub54,before,1,99,initial,intelligibility
10236319,9b,5,Sub56,before,1,99,initial,intelligibility
10236319,9b,6,Sub62,sensors,2,100,initial,intelligibility
10236319,9b,7,Sub57,sensors,2,100,initial,intelligibility
10236319,9b,8,Sub38,after,3,99,initial,intelligibility
10236319,9b,9,Sub52,before,1,99,initial,intelligibility
10236319,9b,10,Sub59,sensors,2,90,initial,intelligibility
10236319,9b,11,Sub46,before,1,99,initial,intelligibility
10236319,9b,12,Sub44,after,3,99,initial,intelligibility
10236319,9b,13,Sub58,sensors,2,99,initial,intelligibility
10236319,9b,14,Sub49_2,before,1,99,initial,intelligibility
10236319,9b,15,Sub36,after,3,100,initial,intelligibility
10236319,9b,16,Sub50,before,1,99,initial,intelligibility
10236319,9b,17,Sub40,after,3,99,initial,intelligibility
10236319,9b,18,Sub30,after,3,99,reliability,intelligibility
10236319,9b,19,Sub38,after,3,99,reliability,intelligibility
10236319,9b,20,Sub46,before,1,99,reliability,intelligibility
10236319,9b,21,Sub58,sensors,2,99,reliability,intelligibility
10236319,9b,1,Sub41,before,1,91,initial,naturalness
10236319,9b,2,Sub55_2,after,3,90,initial,naturalness
10236319,9b,3,Sub43,sensors,2,34,initial,naturalness
10236319,9b,4,Sub45,sensors,2,22,initial,naturalness
10236319,9b,5,Sub53,before,1,99,initial,naturalness
10236319,9b,6,Sub42,sensors,2,31,initial,naturalness
10236319,9b,7,Sub39,before,1,86,initial,naturalness
10236319,9b,8,Sub47,after,3,99,initial,naturalness
10236319,9b,9,Sub34,after,3,70,initial,naturalness
10236319,9b,10,Sub48,sensors,2,94,initial,naturalness
10236319,9b,11,Sub37,after,3,94,initial,naturalness
10236319,9b,12,Sub29,sensors,2,99,initial,naturalness
10236319,9b,13,Sub32,after,3,79,initial,naturalness
10236319,9b,14,Sub51,before,1,72,initial,naturalness
10236319,9b,15,Sub61,before,1,13,initial,naturalness
10236319,9b,16,Sub26,before,1,23,initial,naturalness
10236319,9b,17,Sub28,after,3,0,initial,naturalness
10236319,9b,18,Sub32,after,3,97,reliability,naturalness
10236319,9b,19,Sub51,before,1,78,reliability,naturalness
10236319,9b,20,Sub48,sensors,2,86,reliability,naturalness
10236319,9b,21,Sub26,before,1,35,reliability,naturalness
10237622,9b,1,Sub50,before,1,88,initial,intelligibility
10237622,9b,2,Sub36,after,3,43,initial,intelligibility
10237622,9b,3,Sub52,before,1,100,initial,intelligibility
10237622,9b,4,Sub38,after,3,100,initial,intelligibility
10237622,9b,5,Sub62,sensors,2,80,initial,intelligibility
10237622,9b,6,Sub40,after,3,100,initial,intelligibility
10237622,9b,7,Sub60,sensors,2,100,initial,intelligibility
10237622,9b,8,Sub57,sensors,2,99,initial,intelligibility
10237622,9b,9,Sub30,after,3,100,initial,intelligibility
10237622,9b,10,Sub54,before,1,100,initial,intelligibility
10237622,9b,11,Sub59,sensors,2,32,initial,intelligibility
10237622,9b,12,Sub35,after,3,100,initial,intelligibility
10237622,9b,13,Sub44,after,3,100,initial,intelligibility
10237622,9b,14,Sub49_2,before,1,100,initial,intelligibility
10237622,9b,15,Sub56,before,1,95,initial,intelligibility
10237622,9b,16,Sub46,before,1,71,initial,intelligibility
10237622,9b,17,Sub58,sensors,2,100,initial,intelligibility
10237622,9b,18,Sub35,after,3,100,reliability,intelligibility
10237622,9b,19,Sub52,before,1,100,reliability,intelligibility
10237622,9b,20,Sub50,before,1,100,reliability,intelligibility
10237622,9b,21,Sub30,after,3,100,reliability,intelligibility
10237622,9b,1,Sub29,sensors,2,82,initial,naturalness
10237622,9b,2,Sub55_2,after,3,88,initial,naturalness
10237622,9b,3,Sub61,before,1,22,initial,naturalness
10237622,9b,4,Sub41,before,1,100,initial,naturalness
10237622,9b,5,Sub39,before,1,89,initial,naturalness
10237622,9b,6,Sub48,sensors,2,89,initial,naturalness
10237622,9b,7,Sub45,sensors,2,20,initial,naturalness
10237622,9b,8,Sub32,after,3,71,initial,naturalness
10237622,9b,9,Sub53,before,1,90,initial,naturalness
10237622,9b,10,Sub37,after,3,60,initial,naturalness
10237622,9b,11,Sub47,after,3,93,initial,naturalness
10237622,9b,12,Sub51,before,1,36,initial,naturalness
10237622,9b,13,Sub34,after,3,23,initial,naturalness
10237622,9b,14,Sub26,before,1,20,initial,naturalness
10237622,9b,15,Sub28,after,3,0,initial,naturalness
10237622,9b,16,Sub42,sensors,2,22,initial,naturalness
10237622,9b,17,Sub43,sensors,2,65,initial,naturalness
10237622,9b,18,Sub26,before,1,24,reliability,naturalness
10237622,9b,19,Sub43,sensors,2,65,reliability,naturalness
10237622,9b,20,Sub32,after,3,66,reliability,naturalness
10237622,9b,21,Sub29,sensors,2,73,reliability,naturalness
10237804,9b,1,Sub40,after,3,99,initial,intelligibility
10237804,9b,2,Sub38,after,3,99,initial,intelligibility
10237804,9b,3,Sub60,sensors,2,99,initial,intelligibility
10237804,9b,4,Sub46,before,1,99,initial,intelligibility
10237804,9b,5,Sub59,sensors,2,22,initial,intelligibility
10237804,9b,6,Sub58,sensors,2,99,initial,intelligibility
10237804,9b,7,Sub35,after,3,99,initial,intelligibility
10237804,9b,8,Sub56,before,1,89,initial,intelligibility
10237804,9b,9,Sub30,after,3,100,initial,intelligibility
10237804,9b,10,Sub36,after,3,99,initial,intelligibility
