item,label,class,summary,value
"","","",Rows in dataset,1227
"","","",Columns in dataset,11
speaker_id,Speaker ID,character,unique responses,34
"","","",missing,0
onset,Onset of Vowel Segment (s),numeric,mean,44
"","","",median,45
"","","",min,11.99
"","","",max,100.14
"","","",missing,0
offset,Offset of Vowel Segment (s),numeric,mean,44
"","","",median,45
"","","",min,12.06
"","","",max,100.32
"","","",missing,0
time_point,Time Point of Recording,factor,before (1),411
"","","",sensors (2),409
"","","",after (3),407
"","","",missing,0
group,Group,factor,Control (1),696
"","","",PD (2),531
"","","",missing,0
sex,Sex,factor,Male (1),676
"","","",Female (2),551
"","","",missing,0
age,Age,numeric,mean,68
"","","",median,68
"","","",min,47
"","","",max,85
"","","",missing,0
seg_type,Segment Type,factor,initial (1),820
"","","",intrarater (2),192
"","","",interrater (3),215
"","","",missing,0
vowel,Corner Vowel,factor,i (1),304
"","","",u (2),310
"","","",ae (3),310
"","","",a (4),300
"","","",missing,3
f1,Formant 1,numeric,mean,465
"","","",median,382
"","","",min,74.44
"","","",max,1656.79
"","","",missing,0
f2,Formant 2,numeric,mean,1702
"","","",median,1663
"","","",min,386.79
"","","",max,3166.09
"","","",missing,0
