tmin	tier	text	tmax
6.589580	phrase	Phrase1_7	7.812397
8.471514	phoneme	sh	8.569111
14.898342	phoneme	ae	14.957177
19.890394	phoneme	s	20.009579
22.117933	phoneme	lu	22.186489
28.640931	phoneme	ae	28.719571
29.710553	phoneme	i	29.775485
40.923040	phrase	Phrase2_11	42.783454
42.587907	phoneme	la	42.719371
49.320480	phoneme	i	49.390830
52.630154	phoneme	u	52.702196
59.668106	phoneme	a	59.763243
67.833511	phrase	Phrase3.1_19	70.479018
71.032847	phrase	Phrase3.2_6	72.251988
72.441885	phrase	Phrase3.3_4	73.078564
