tmin	tier	text	tmax
10.409000	phrase	Phrase1_7	11.877411
13.162695	phoneme	sh	13.301724
21.057890	phoneme	ae	21.145470
27.079400	phoneme	s	27.191125
29.806430	phoneme	lu	29.888665
38.167986	phoneme	ae	38.282180
40.220818	phoneme	i	40.271665
53.823213	phrase	Phrase2.1_4	54.703807
55.213630	phrase	Phrase2.2_7	56.519502
56.294458	phoneme	la	56.489404
63.407740	phoneme	i	63.468145
67.264714	phoneme	u	67.385027
75.941258	phoneme	a	76.058163
85.830670	phrase	Phrase3.1_19	89.459732
90.091388	phrase	Phrase3.2_10	92.099618
