tmin	tier	text	tmax
15.302062	phrase	Phrase1_7	17.070858
17.746204	phoneme	sh	17.912773
25.684597	phoneme	ae	25.773634
31.558316	phoneme	s	31.713752
34.952795	phoneme	lu	35.147240
43.155558	phoneme	ae	43.284731
45.143922	phrase	i	45.232908
58.100287	phrase	Phrase2_11	60.746049
60.437919	phoneme	la	60.587356
67.005332	phoneme	i	67.043079
71.259925	phoneme	u	71.406969
78.997474	phoneme	a	79.103688
89.680460	phrase	Phrase3.1_10	91.759525
92.193700	phrase	Phrase3.2_9	93.782195
94.195795	phrase	Phrase3.3_8	96.280528
96.456941	phrase	Phrase3.4_2	96.826853
