tmin	tier	text	tmax
6.939631	phrase	Phrase1_7	8.570037
9.003115	phoneme	sh	9.142221
15.908859	phoneme	ae	15.969287
20.716306	phoneme	s	20.845074
23.294959	phoneme	lu	23.401600
29.352533	phoneme	ae	29.475969
31.302224	phoneme	i	31.366960
41.284232	phrase	Phrase2_12	43.594017
43.447749	phoneme	la	43.574158
49.060307	phoneme	i	49.108825
51.731740	phoneme	u	51.808895
57.620232	phoneme	a	57.739743
65.277161	phrase	Phrase3.1_19	68.343979
68.721967	phrase	Phrase3.2_8	70.243911
70.460244	phrase	Phrase3.3_2	70.688192
