tmin	tier	text	tmax
5.745547	phrase	Phrase1_7	7.135231
7.566720	phoneme	sh	7.694774
14.357818	phoneme	ae	14.451283
19.389239	phoneme	s	19.510008
21.925163	phoneme	lu	22.043035
29.354468	phoneme	ae	29.487349
31.278663	phoneme	i	31.333494
42.350653	phrase	Phrase2_11	44.519791
44.324274	phoneme	la	44.502603
49.701735	phoneme	i	49.768335
53.260933	phoneme	u	53.354654
60.671132	phoneme	a	60.807813
69.471483	phrase	Phrase3.1_10	71.229705
71.668679	phrase	Phrase3.2_12	73.744513
73.897046	phrase	Phrase3.3_5	74.807280
75.001688	phrase	Phrase3.4_2	75.271573
