tmin	tier	text	tmax
7.414770	phrase	Phrase1_7	8.746144
9.487535	phoneme	sh	9.605831
15.888443	phoneme	ae	15.969966
20.861893	phoneme	s	20.957664
23.680716	phoneme	lu	23.787843
30.097692	phoneme	ae	30.238630
31.674565	phoneme	i	31.733486
42.466808	phrase	Phrase2_12	45.820023
45.691823	phoneme	la	45.775938
50.595513	phoneme	i	50.641975
53.412008	phoneme	u	53.508518
60.092121	phoneme	a	60.226278
67.902022	phrase	Phrase3.1_10	69.646971
70.004808	phrase	Phrase_3.2_9	71.292249
71.599616	phrase	Phase3.3_10	74.377366
