tmin	tier	text	tmax
5.942007	phrase	Phrase1_7	7.224244
7.685236	phoneme	sh	7.802140
15.055411	phoneme	ae	15.134884
20.522802	phoneme	s	20.630414
22.969630	phoneme	lu	23.097213
29.472820	phoneme	ae	29.601875
30.809361	phoneme	i	30.861399
41.042295	phrase	Phrase2.1_4	42.218923
42.713561	phrase	Phrase2.2_7	43.788039
43.610584	phoneme	la	43.764874
49.219436	phoneme	i	49.284274
51.841551	phoneme	u	52.024726
58.628215	phoneme	a	58.783831
66.523621	phrase	Phrase3.1_27	70.911499
71.167436	phrase	Phrase3.2_2	71.467492
