tmin	tier	text	tmax
6.318652	phrase	Phrase1_7	7.540423
8.182673	phoneme	sh	8.295869
14.295414	phoneme	ae	14.342668
18.786375	phoneme	s	18.875643
21.113222	phoneme	lu	21.205016
26.674653	phoneme	ae	26.788289
28.048263	phoneme	i	28.115685
39.138106	phrase	Phrase2_11	41.153730
40.954967	phoneme	la	41.090980
46.059790	phoneme	i	46.109580
49.545061	phoneme	u	49.598184
55.325334	phoneme	a	55.466276
62.900993	phrase	Phrase3.1_9	64.376949
64.815333	phrase	Phrase3.2_15	67.135437
67.301976	phrase	Phrase3.3_2	67.685389
67.903211	phrase	Phrase3.4_2	68.153661
